Volcano, StartDate, EndDate, VEI
Barren Island, 12/20/1795, 12/21/1795, 2
Barren Island, 12/20/1994, 06/05/1995, 2
Erebus, 12/12/1912, . , 2
Erebus, 01/03/1972, . , 1
Etna, 02/06/1610, 08/15/1610, 2
Etna, 06/04/1787, 08/11/1787, 4
Etna, 01/30/1865, 06/28/1865, 2
Etna, 06/17/1994, 07/17/2001, 3
Fuji, 12/16/1707, 02/24/1708, 5
Grimsvotn, 10/31/1603, 11/01/1603, 2
Grimsvotn, 01/08/1873, 08/01/1873, 4
Grimsvotn, 12/18/1998, 12/28/1998, 3
Kilauea, 05/30/1840, 06/25/1840, 0
Kilauea, 05/24/1969, 07/22/1974, 0
Kliuchevskoi, 09/25/1737, 11/04/1737, 2
Kliuchevskoi, 03/25/1931, 03/27/1931, 4
Kliuchevskoi, 04/09/2002, 06/09/2002, 2
Krakatau, 05/20/1883, 10/21/1883, 6
Krakatau, 07/04/1938, 07/02/1940, 3
Krakatau, 05/29/2000, 10/30/2000, 1
Lassen, 05/30/1914, 06/29/1917, 3
Mauna Loa, 06/20/1832, 07/15/1832, 0
Mauna Loa, 03/25/1984, 04/15/1984, 0
Nyamuragira, 11/07/1907, 12/05/1907, 3
Nyamuragira, 02/06/2001, 04/05/2001, 2
Nyiragongo, 06/21/1982, 10/17/1982, 1
Nyiragongo, 01/17/2002, 02/03/2002, 1
Pinatubo, 04/02/1991, 09/02/1991, 5
Poas, 12/29/1898, 12/31/1907, 1
Poas, 04/08/1996, 04/08/1996, 1
Popocatepetl, 10/13/1663, 10/19/1665, 3
Popocatepetl, 12/21/1994, 08/05/1995, 2
Reventador, 12/12/1856, 12/13/1856, 3
Reventador, 02/24/1944, 03/01/1944, 3
Reventador, 11/03/2002, 01/10/2003, 4
Ruapehu, 02/13/1861, 05/16/1861, 2
Ruapehu, 06/17/1996, 09/01/1996, 3
Sabancaya, 05/01/1997, 05/02/1997, 3
Santorini, 09/27/1650, 12/06/1650, 4
Santorini, 05/23/1707, 09/14/1711, 3
Santorini, 01/26/1866, 10/15/1870, 2
Santorini, 01/10/1950, 02/02/1950, 2
Shishaldin, 03/13/1999, 05/27/1999, 3
St. Helens, 03/26/1847, 03/30/1847, 2
St. Helens, 03/27/1980, 10/28/1986, 5
St. Helens, 10/01/2004, . , 2
Vesuvius, 12/15/1631, 01/31/1632, 5
Vesuvius, 12/25/1732, 06/04/1737, 3
Vesuvius, 12/18/1875, 04/22/1906, 4
Vesuvius, 07/05/1913, 04/04/1944, 3
Villarrica, 11/07/1837, 11/21/1837, 2
Villarrica, 08/05/2003, 01/01/2004, 1
