Num_Color,Color,Hex,Num,Color_Hex,Group,N
001 - AliceBlue,AliceBlue,F0F8FF,1,"AliceBlue=hex: F0,F8,FF",1,1
002 - AntiqueWhite,AntiqueWhite,FAEBD7,2,"AntiqueWhite=hex: FA,EB,D7",1,2
003 - Aqua,Aqua,00FFFF,3,"Aqua=hex: 00,FF,FF",1,3
004 - Aquamarine,Aquamarine,7FFDD4,4,"Aquamarine=hex: 7F,FD,D4",1,4
005 - Azure,Azure,F0FFFF,5,"Azure=hex: F0,FF,FF",1,5
006 - Beige,Beige,F5F5DC,6,"Beige=hex: F5,F5,DC",1,6
007 - Bisque,Bisque,FFE4C4,7,"Bisque=hex: FF,E4,C4",1,7
008 - Black,Black,000000,8,"Black=hex: 00,00,00",1,8
009 - BlanchedAlmond,BlanchedAlmond,FFEBCD,9,"BlanchedAlmond=hex: FF,EB,CD",1,9
010 - Blue,Blue,0000FF,10,"Blue=hex: 00,00,FF",1,10
011 - BlueViolet,BlueViolet,8A2BE2,11,"BlueViolet=hex: 8A,2B,E2",1,11
012 - BR,BR,A52A2A,12,"BR=hex: A5,2A,2A",1,12
013 - Brown,Brown,A52A2A,13,"Brown=hex: A5,2A,2A",1,13
014 - Burlywood,Burlywood,DEB887,14,"Burlywood=hex: DE,B8,87",1,14
015 - CadetBlue,CadetBlue,5F9EA0,15,"CadetBlue=hex: 5F,9E,A0",1,15
016 - Chartreuse,Chartreuse,7FFF00,16,"Chartreuse=hex: 7F,FF,00",1,16
017 - Chocolate,Chocolate,D2691E,17,"Chocolate=hex: D2,69,1E",1,17
018 - Coral,Coral,FF7F50,18,"Coral=hex: FF,7F,50",1,18
019 - CornFlowerBlue,CornFlowerBlue,6495ED,19,"CornFlowerBlue=hex: 64,95,ED",1,19
020 - Cornsilk,Cornsilk,FFF8DC,20,"Cornsilk=hex: FF,F8,DC",1,20
021 - Crimson,Crimson,DC143C,21,"Crimson=hex: DC,14,3C",1,21
022 - Cyan,Cyan,00FFFF,22,"Cyan=hex: 00,FF,FF",1,22
023 - DarkBlue,DarkBlue,00008B,23,"DarkBlue=hex: 00,00,8B",1,23
024 - DarkCyan,DarkCyan,008B8B,24,"DarkCyan=hex: 00,8B,8B",1,24
025 - DarkGoldenrod,DarkGoldenrod,B8860B,25,"DarkGoldenrod=hex: B8,86,0B",2,1
026 - DarkGray,DarkGray,A9A9A9,26,"DarkGray=hex: A9,A9,A9",2,2
027 - DarkGreen,DarkGreen,006400,27,"DarkGreen=hex: 00,64,00",2,3
028 - DarkKhaki,DarkKhaki,BDB76B,28,"DarkKhaki=hex: BD,B7,6B",2,4
029 - DarkMagenta,DarkMagenta,8B008B,29,"DarkMagenta=hex: 8B,00,8B",2,5
030 - DarkOliveGreen,DarkOliveGreen,556B2F,30,"DarkOliveGreen=hex: 55,6B,2F",2,6
031 - DarkOrange,DarkOrange,FF8C00,31,"DarkOrange=hex: FF,8C,00",2,7
032 - DarkOrchid,DarkOrchid,9932CC,32,"DarkOrchid=hex: 99,32,CC",2,8
033 - DarkRed,DarkRed,8B0000,33,"DarkRed=hex: 8B,00,00",2,9
034 - DarkSalmon,DarkSalmon,E9967A,34,"DarkSalmon=hex: E9,96,7A",2,10
035 - DarkSeaGreen,DarkSeaGreen,8FBC8F,35,"DarkSeaGreen=hex: 8F,BC,8F",2,11
036 - DarkSlateBlue,DarkSlateBlue,483D8B,36,"DarkSlateBlue=hex: 48,3D,8B",2,12
037 - DarkSlateGray,DarkSlateGray,2F4F4F,37,"DarkSlateGray=hex: 2F,4F,4F",2,13
038 - DarkTurquoise,DarkTurquoise,00CED1,38,"DarkTurquoise=hex: 00,CE,D1",2,14
039 - DarkViolet,DarkViolet,9400D3,39,"DarkViolet=hex: 94,00,D3",2,15
040 - DeepPink,DeepPink,FF1493,40,"DeepPink=hex: FF,14,93",2,16
041 - DeepSkyBlue,DeepSkyBlue,00BFFF,41,"DeepSkyBlue=hex: 00,BF,FF",2,17
042 - DimGray,DimGray,696969,42,"DimGray=hex: 69,69,69",2,18
043 - DodgerBlue,DodgerBlue,1E90FF,43,"DodgerBlue=hex: 1E,90,FF",2,19
044 - FireBrick,FireBrick,B22222,44,"FireBrick=hex: B2,22,22",2,20
045 - FloralWhite,FloralWhite,FFFAF0,45,"FloralWhite=hex: FF,FA,F0",2,21
046 - ForestGreen,ForestGreen,228B22,46,"ForestGreen=hex: 22,8B,22",2,22
047 - Fuchsia,Fuchsia,FF00FF,47,"Fuchsia=hex: FF,00,FF",2,23
048 - G,G,008000,48,"G=hex: 00,80,00",2,24
049 - Gainsboro,Gainsboro,DCDCDC,49,"Gainsboro=hex: DC,DC,DC",3,1
050 - GhostWhite,GhostWhite,F8F8FF,50,"GhostWhite=hex: F8,F8,FF",3,2
051 - Gold,Gold,FFD700,51,"Gold=hex: FF,D7,00",3,3
052 - Goldenrod,Goldenrod,DAA520,52,"Goldenrod=hex: DA,A5,20",3,4
053 - Gray,Gray,808080,53,"Gray=hex: 80,80,80",3,5
054 - Green,Green,008000,54,"Green=hex: 00,80,00",3,6
