Vendor,Month,Mon,Unit,Test_Time,Delay,Resistance,Result,Fail
ChiTronix Components,1,2008-01,1,01JAN2008:00:00:00,203,17.91,Pass,0
ChiTronix Components,1,2008-01,2,02JAN2008:00:00:00,198,17.80,Pass,0
ChiTronix Components,1,2008-01,3,03JAN2008:00:00:00,205,17.51,Pass,0
ChiTronix Components,1,2008-01,4,04JAN2008:00:00:00,213,17.56,Pass,0
ChiTronix Components,1,2008-01,5,05JAN2008:00:00:00,205,18.15,Pass,0
ChiTronix Components,1,2008-01,6,06JAN2008:00:00:00,215,19.00,Pass,0
ChiTronix Components,1,2008-01,7,07JAN2008:00:00:00,159,14.96,Pass,0
ChiTronix Components,1,2008-01,8,08JAN2008:00:00:00,220,19.58,Pass,0
ChiTronix Components,1,2008-01,9,09JAN2008:00:00:00,202,19.14,Pass,0
ChiTronix Components,1,2008-01,10,10JAN2008:00:00:00,205,18.35,Pass,0
ChiTronix Components,1,2008-01,11,11JAN2008:00:00:00,177,15.11,Pass,0
ChiTronix Components,1,2008-01,12,12JAN2008:00:00:00,193,18.90,Pass,0
ChiTronix Components,1,2008-01,13,13JAN2008:00:00:00,174,16.71,Pass,0
ChiTronix Components,1,2008-01,14,14JAN2008:00:00:00,228,21.40,Pass,0
ChiTronix Components,1,2008-01,15,15JAN2008:00:00:00,198,18.06,Pass,0
ChiTronix Components,1,2008-01,16,16JAN2008:00:00:00,218,19.93,Pass,0
ChiTronix Components,1,2008-01,17,17JAN2008:00:00:00,207,19.21,Pass,0
ChiTronix Components,1,2008-01,18,18JAN2008:00:00:00,200,18.61,Pass,0
ChiTronix Components,1,2008-01,19,19JAN2008:00:00:00,215,19.71,Pass,0
ChiTronix Components,1,2008-01,20,20JAN2008:00:00:00,209,19.46,Pass,0
ChiTronix Components,2,2008-02,1,01FEB2008:00:00:00,200,18.36,Pass,0
ChiTronix Components,2,2008-02,2,02FEB2008:00:00:00,204,19.24,Pass,0
ChiTronix Components,2,2008-02,3,03FEB2008:00:00:00,192,15.94,Pass,0
ChiTronix Components,2,2008-02,4,04FEB2008:00:00:00,203,18.98,Pass,0
ChiTronix Components,2,2008-02,5,05FEB2008:00:00:00,236,20.95,Pass,0
ChiTronix Components,2,2008-02,6,06FEB2008:00:00:00,216,21.68,Pass,0
