Vendor,SN,Symptom,Install,Fail
Duality,2070481,ECC errors,6/9/2006,07/29/2006  9:37 EST
Duality,2070109,"Disk not spin up",6/9/2006,07/01/2006  8:52 EST
Duality,2070967,No Power,6/9/2006,11/25/2006  9:14 EST
Duality,2070216,No Power,6/20/2006,12/08/2006 21:09 EST
Duality,2070381,No Power,6/22/2006,12/18/2006 23:44 EST
Duality,2070276,ECC errors,6/18/2006,09/06/2006 18:56 EST
Duality,2070113,ECC errors,6/1/2006,08/12/2006  0:20 EST
Duality,2070032,ECC errors,6/6/2006,08/26/2006  5:24 EST
Duality,2070545,"Disk not spin up",6/10/2006,06/23/2006 10:33 EST
Duality,2070291,No Power,6/7/2006,11/26/2006  7:10 EST
Duality,2070036,ECC errors,6/14/2006,08/26/2006 15:16 EST
Duality,2070443,"Disk not spin up",6/9/2006,07/05/2006  9:14 EST
Duality,2070471,Blank Screen,6/6/2006,10/17/2006  5:54 EST
Duality,2070426,No Power,6/10/2006,12/04/2006  9:58 EST
Duality,2070380,"Disk not spin up",6/15/2006,07/27/2006 15:29 EST
Duality,2070995,Blank Screen,6/22/2006,11/02/2006 23:26 EST
Duality,2070786,ECC errors,6/5/2006,08/09/2006  5:07 EST
Duality,2070365,ECC errors,6/19/2006,09/09/2006 20:03 EST
Duality,2070117,No Power,6/15/2006,11/12/2006 15:59 EST
Duality,2070119,ECC errors,6/16/2006,08/30/2006 16:46 EST
Duality,2070869,"Disk not spin up",6/15/2006,07/02/2006 15:32 EST
Duality,2070358,ECC errors,6/4/2006,08/28/2006  3:30 EST
Duality,2070743,Blank Screen,6/9/2006,09/22/2006  9:25 EST
Duality,2070384,"Disk not spin up",6/16/2006,07/07/2006 16:44 EST
Duality,2070713,"Disk not spin up",6/18/2006,06/24/2006 19:19 EST
Duality,2070337,No Power,6/2/2006,10/25/2006  0:52 EST
Duality,2070113,ECC errors,6/4/2006,08/08/2006  3:58 EST
Duality,2070024,"Disk not spin up",6/12/2006,07/05/2006 12:31 EST
Duality,2070299,"Disk not spin up",6/7/2006,07/04/2006  7:01 EST
Duality,2070969,Blank Screen,6/18/2006,09/26/2006 19:44 EST
Duality,2070637,ECC errors,6/5/2006,07/31/2006  4:38 EST
Duality,2070087,ECC errors,6/9/2006,07/26/2006  8:38 EST
Duality,2070746,No Power,6/1/2006,10/30/2006  0:24 EST
Duality,2070131,"Disk not spin up",6/7/2006,07/17/2006  6:58 EST
Duality,2070622,Blank Screen,6/8/2006,09/14/2006  7:32 EST
Duality,2070229,Blank Screen,6/9/2006,10/16/2006  8:56 EST
Duality,2070096,"Disk not spin up",6/18/2006,07/29/2006 19:21 EST
Duality,2070536,"Disk not spin up",6/6/2006,07/18/2006  5:23 EST
Duality,2070934,ECC errors,6/20/2006,08/26/2006 21:09 EST
Duality,2070085,No Power,6/11/2006,11/22/2006 11:53 EST
Duality,2070255,No Power,6/18/2006,11/20/2006 19:47 EST
Duality,2070789,No Power,6/21/2006,11/20/2006 22:23 EST
Duality,2070304,No Power,6/4/2006,11/15/2006  2:52 EST
Duality,2070310,"Disk not spin up",6/3/2006,06/11/2006  2:35 EST
Duality,2070124,"Disk not spin up",6/11/2006,06/25/2006 11:09 EST
Duality,2070657,ECC errors,6/22/2006,09/17/2006 23:57 EST
Duality,2070253,ECC errors,6/3/2006,08/16/2006  2:24 EST
Duality,2070179,Blank Screen,6/4/2006,09/29/2006  3:02 EST
Duality,2070856,Blank Screen,6/2/2006,09/02/2006  0:41 EST
Duality,2070109,Blank Screen,6/20/2006,10/01/2006 21:14 EST
Duality,2070946,ECC errors,6/7/2006,08/06/2006  6:48 EST
Duality,2070042,ECC errors,6/2/2006,08/04/2006  1:08 EST
Duality,2070791,No Power,6/1/2006,11/04/2006  0:21 EST
Duality,2070556,No Power,6/22/2006,12/09/2006 23:49 EST
Duality,2070440,"Disk not spin up",6/7/2006,06/14/2006  6:55 EST
Duality,2070514,"Disk not spin up",6/19/2006,07/10/2006 20:00 EST
Duality,2070853,"Disk not spin up",6/2/2006,07/05/2006  0:42 EST
Duality,2070306,ECC errors,6/3/2006,08/26/2006  2:38 EST
Duality,2070739,No Power,6/15/2006,11/13/2006 16:12 EST
Duality,2070926,No Power,6/18/2006,11/15/2006 19:02 EST
Duality,2070253,No Power,6/10/2006,11/01/2006 10:16 EST
Duality,2070136,Blank Screen,6/11/2006,09/19/2006 10:58 EST
Duality,2070292,"Disk not spin up",6/16/2006,07/28/2006 16:41 EST
Duality,2070694,Blank Screen,6/8/2006,09/08/2006  7:54 EST
Duality,2070748,Blank Screen,6/14/2006,09/29/2006 14:31 EST
Duality,2070181,ECC errors,6/4/2006,08/07/2006  3:09 EST
Duality,2070723,Blank Screen,6/18/2006,10/29/2006 19:01 EST
Duality,2070327,ECC errors,6/9/2006,08/11/2006  8:57 EST
Duality,2070168,"Disk not spin up",6/18/2006,06/19/2006 19:42 EST
Duality,2070879,ECC errors,6/1/2006,07/19/2006  0:25 EST
Duality,2070766,Blank Screen,6/19/2006,10/03/2006 20:28 EST
Duality,2070195,Blank Screen,6/14/2006,09/20/2006 14:56 EST
Duality,2070162,Blank Screen,6/10/2006,09/10/2006  9:59 EST
Duality,2070523,No Power,6/6/2006,11/23/2006  5:58 EST
Duality,2070248,Blank Screen,6/8/2006,09/10/2006  8:25 EST
Duality,2070374,Blank Screen,6/10/2006,10/06/2006 10:42 EST
Duality,2070301,ECC errors,6/18/2006,08/19/2006 19:02 EST
Duality,2070650,ECC errors,6/20/2006,08/07/2006 21:21 EST
Duality,2070944,Blank Screen,6/5/2006,09/15/2006  4:57 EST
Duality,2070319,ECC errors,6/15/2006,09/01/2006 15:35 EST
Duality,2070255,Blank Screen,6/3/2006,09/24/2006  2:13 EST
Duality,2070197,No Power,6/5/2006,11/23/2006  4:53 EST
Duality,2070360,No Power,6/12/2006,12/01/2006 12:42 EST
Duality,2070720,No Power,6/5/2006,11/30/2006  4:44 EST
Duality,2070788,Blank Screen,6/18/2006,10/14/2006 19:53 EST
Duality,2070769,Blank Screen,6/3/2006,09/15/2006  2:27 EST
Duality,2070065,No Power,6/19/2006,11/12/2006 21:02 EST
Duality,2070904,Blank Screen,6/17/2006,10/29/2006 18:46 EST
Duality,2070946,ECC errors,6/6/2006,08/01/2006  6:08 EST
Duality,2070720,ECC errors,6/10/2006,08/08/2006 10:20 EST
Duality,2070187,No Power,6/5/2006,10/20/2006  5:05 EST
Duality,2070050,"Disk not spin up",6/8/2006,07/07/2006  8:15 EST
Duality,2070234,Blank Screen,6/19/2006,10/30/2006 20:57 EST
Duality,2070087,"Disk not spin up",6/12/2006,07/25/2006 12:53 EST
Duality,2070300,Blank Screen,6/21/2006,10/26/2006 22:34 EST
Duality,2070380,ECC errors,6/14/2006,09/05/2006 15:02 EST
Duality,2070246,No Power,6/18/2006,11/16/2006 19:57 EST
Duality,2070195,ECC errors,6/14/2006,08/27/2006 14:31 EST
Duality,2070480,No Power,6/8/2006,11/13/2006  8:22 EST
Duality,2070152,"Disk not spin up",6/16/2006,06/20/2006 17:29 EST
ChiTronix,1000362,No Power,6/17/2006,11/14/2006 17:53 PST
ChiTronix,1000183,"Disk not spin up",6/16/2006,06/30/2006 17:29 PST
ChiTronix,1000706,ECC errors,6/17/2006,09/13/2006 18:20 PST
ChiTronix,1000152,ECC errors,6/9/2006,08/31/2006  9:26 PST
ChiTronix,1000392,"Disk not spin up",6/5/2006,07/04/2006  4:21 PST
ChiTronix,1000279,ECC errors,6/13/2006,08/15/2006 13:40 PST
ChiTronix,1000618,"Disk not spin up",6/9/2006,07/15/2006  8:44 PST
ChiTronix,1000967,Blank Screen,6/6/2006,09/26/2006  5:31 PST
ChiTronix,1000830,ECC errors,6/22/2006,08/25/2006 23:41 PST
ChiTronix,1000418,Blank Screen,6/4/2006,10/16/2006  3:18 PST
ChiTronix,1000763,Blank Screen,6/18/2006,09/26/2006 18:57 PST
ChiTronix,1000312,Blank Screen,6/14/2006,10/07/2006 15:09 PST
