SUMLEV,STATE,COUNTY,REGION,DIVISION,ctyname,STNAME,CENSUS2000POP,ESTIMATESBASE2000,POPESTIMATE2000,POPESTIMATE2001,POPESTIMATE2002,POPESTIMATE2003,POPESTIMATE2004,BIRTHS2000,BIRTHS2001,BIRTHS2002,BIRTHS2003,BIRTHS2004,DEATHS2000,DEATHS2001,DEATHS2002,DEATHS2003,DEATHS2004,INTERNATIONALMIG2000,INTERNATIONALMIG2001,INTERNATIONALMIG2002,INTERNATIONALMIG2003,INTERNATIONALMIG2004,INTERNALMIG2000,INTERNALMIG2001,INTERNALMIG2002,INTERNALMIG2003,INTERNALMIG2004,RESIDUAL2000,RESIDUAL2001,RESIDUAL2002,RESIDUAL2003,RESIDUAL2004,CENSUS2000GQPOP,GQESTIMATESBASE2000,GQPOPESTIMATES2000,GQPOPESTIMATES2001,GQPOPESTIMATES2002,GQPOPESTIMATES2003,GQPOPESTIMATES2004
40,1,0,3,6,Alabama,Alabama,4447100,4447351,4452307,4468031,4481078,4503726,4530182,15214,63067,60246,59861,60490,10627,45608,46119,46606,47072,1426,5162,5152,4998,4974,-1097,-6372,-5977,4756,7987,40,-525,-255,-361,77,114720,114720,114720,116170,115299,115612,115612
50,1,1,3,6,Autauga County,Alabama,43671,43671,43911,44735,45585,46348,47468,146,636,595,606,647,79,356,368,391,429,7,0,7,6,4,166,552,620,550,903,0,-8,-4,-8,-5,260,260,260,260,260,260,260
50,1,3,3,6,Baldwin County,Alabama,140415,140415,141413,144930,148074,151574,156701,425,1883,1750,1740,1849,343,1366,1462,1475,1516,47,196,191,187,188,896,2840,2703,3079,4623,-27,-36,-38,-31,-17,2274,2274,2274,2235,2232,2232,2232
50,1,5,3,6,Barbour County,Alabama,29038,29038,29044,28990,28975,28805,28557,88,444,387,374,400,71,318,331,320,309,8,47,45,45,45,-20,-218,-109,-266,-385,1,-9,-7,-3,1,2718,2718,2718,2701,2893,2893,2893
50,1,7,3,6,Bibb County,Alabama,20826,19889,19938,21063,21057,21224,21317,67,274,298,276,267,61,191,213,218,221,3,8,7,7,7,39,1025,-94,105,37,1,9,-4,-3,3,302,302,302,1198,1234,1234,1234
50,1,9,3,6,Blount County,Alabama,51024,51024,51213,52173,53074,54195,54988,163,675,668,662,647,86,489,519,540,536,23,100,99,98,98,94,678,660,910,583,-5,-4,-7,-9,1,610,610,610,610,610,610,610
50,1,11,3,6,Bullock County,Alabama,11714,11626,11616,11424,11331,11330,11229,43,174,155,149,155,35,138,147,138,140,10,41,40,39,39,-27,-268,-140,-49,-154,-1,-1,-1,-2,-1,1511,1511,1511,1504,1541,1541,1541
50,1,13,3,6,Butler County,Alabama,21399,21401,21335,21164,20807,20765,20764,71,300,272,258,295,68,255,320,296,283,1,4,3,4,4,-69,-217,-308,-4,-19,-1,-3,-4,-4,2,265,265,265,265,265,265,265
50,1,15,3,6,Calhoun County,Alabama,112249,112243,111386,111221,111441,112097,112425,373,1567,1501,1467,1493,315,1409,1337,1256,1229,19,71,72,70,69,-916,-369,-3,393,-12,-18,-25,-13,-18,7,2428,2428,2428,2418,2379,2379,2379
50,1,17,3,6,Chambers County,Alabama,36583,36583,36577,36413,36157,35804,35567,114,469,439,450,450,106,507,468,479,481,1,19,16,16,16,-16,-136,-238,-335,-221,1,-9,-5,-5,-1,518,518,518,518,518,518,518
